Destination Type,Destination,Month,Climate,Activities,Travel Companions,Special Requirement ,Duration,Plan
Upcountry,Nuwara Eliya,September,Cloudy,"Hiking, Visiting waterfalls, Tea plantation visit, Boating, Golfing, Botanical Exploration, Strawberry farm visits ",Adventure Travel,"Road map, GPS rental",1,"Day 1 - Hiking, Visiting waterfalls, Tea plantation visit"
Upcountry,Nuwara Eliya,October,Rainy,"Tea factory tours, Visit seetha amman temple, Bortanical Exploration, Strawberry farm visits, Visiting waterfalls ",Adventure Travel,"Private tour guide, spa booking",1,"Day 1 - Tea factory tours, Visit seetha amman temple, Bortanical Exploration"
Upcountry,Nuwara Eliya,November,Rainy,"Tea factory tours, Visit seetha amman temple, Bortanical Exploration, Strawberry farm visits, Visiting waterfalls ",Adventure Travel,Eco-friendly accommodation,1,"Day 1 - Tea factory tours, Visit seetha amman temple, Bortanical Exploration"
Upcountry,Nuwara Eliya,December,Rainy,"Tea factory tours, Visit seetha amman temple, Bortanical Exploration, Strawberry farm visits, Visiting waterfalls ",Adventure Travel,Special meal arrangements,1,"Day 1 - Tea factory tours, Visit seetha amman temple, Bortanical Exploration"
Beachside,Mirissa,January,Cloudy,"Whale watching, Surfing, Snorkeling, Diving, Beach Hopping, Visit coconut tree hill, Temple Visit, Village Tours",Adventure Travel,Private beachfront dining,1,"Day 1 - Whale watching, Surfing, Snorkeling"
Beachside,Mirissa,February,Sunny,"Whale watching, Surfing, Snorkeling, Diving, Beach Hopping, Visit coconut tree hill, Temple Visit, Village Tours",Adventure Travel,"Private villa, surfing lessons, ",1,"Day 1 - Whale watching, Surfing, Snorkeling"
Beachside,Mirissa,March,Sunny,"Whale watching, Surfing, Snorkeling, Diving, Beach Hopping, Visit coconut tree hill, Temple Visit, Village Tours",Adventure Travel,"Private tour guide, spa booking",1,"Day 1 - Whale watching, Surfing, Snorkeling"
Beachside,Mirissa,April,Sunny,"Whale watching, Surfing, Snorkeling, Diving, Beach Hopping, Visit coconut tree hill, Temple Visit, Village Tours",Adventure Travel,Eco-friendly accommodation,1,"Day 1 - Whale watching, Surfing, Snorkeling"
Beachside,Mirissa,May,Cloudy,"Surfing, Snorkeling, Diving, Beach Hopping, Visit coconut tree hill, Temple Visit, Village Tours",Adventure Travel,"Budget Friendly Stay, Public Transport",1,"Day 1 - Surfing, Snorkeling, Diving"
Beachside,Mirissa,June,Cloudy,"Surfing, Snorkeling, Diving, Beach Hopping, Visit coconut tree hill, Temple Visit, Village Tours",Adventure Travel,Private beachfront dining,1,"Day 1 - Surfing, Snorkeling, Diving"
Beachside,Mirissa,July,Sunny,"Surfing, Snorkeling, Diving, Beach Hopping, Visit coconut tree hill, Temple Visit, Village Tours",Adventure Travel,"Private villa, surfing lessons, ",1,"Day 1 - Surfing, Snorkeling, Diving"
Beachside,Mirissa,August,Sunny,"Surfing, Snorkeling, Diving, Beach Hopping, Visit coconut tree hill, Temple Visit, Village Tours",Adventure Travel,"Private tour guide, spa booking",1,"Day 1 - Surfing, Snorkeling, Diving"
Beachside,Mirissa,September,Cloudy,"Surfing, Snorkeling, Diving, Beach Hopping, Visit coconut tree hill, Temple Visit, Village Tours",Adventure Travel,"Private villa, surfing lessons, ",1,"Day 1 - Surfing, Snorkeling, Diving"
Beachside,Mirissa,October,Rainy,"Tea plantation visits, Visit temples, Village tours, Visit Dondra lighthouse, Visit Dutch fort, Diving",Adventure Travel,Special meal arrangements,1,"Day 1 - Tea plantation visits, Visit temples, Village tours"
Beachside,Mirissa,November,Rainy,"Tea plantation visits, Visit temples, Village tours, Visit Dondra lighthouse, Visit Dutch fort, Diving",Adventure Travel,Vegetarian meal options,1,"Day 1 - Tea plantation visits, Visit temples, Village tours"
Beachside,Mirissa,December,Cloudy,"Whale watching, Surfing, Snorkeling, Diving, Beach Hopping, Visit coconut tree hill, Temple Visit, Village Tours",Adventure Travel,"Budget Friendly Stay, Public Transport",1,"Day 1 - Whale watching, Surfing, Snorkeling"
Beachside,Jaffna,January,Rainy,"Visit jaffna fort, Museum visits, Visit Nallur kandaswamy temple, Food stops",Adventure Travel,Private beachfront dining,1,"Day 1 - Visit jaffna fort, Museum visits, Visit Nallur kandaswamy temple"
Beachside,Jaffna,February,Sunny,"Delft island exploration, Nainativu island exploration, Beach relaxing, Cycling tours, Bird watching, Visit jaffna fort",Adventure Travel,"Budget Friendly Stay, Public Transport",1,"Day 1 - Delft island exploration, Nainativu island exploration, Beach relaxing"
Beachside,Jaffna,March,Sunny,"Delft island exploration, Nainativu island exploration, Beach relaxing, Cycling tours, Bird watching, Visit jaffna fort",Adventure Travel,"Budget Friendly Stay, Public Transport",1,"Day 1 - Delft island exploration, Nainativu island exploration, Beach relaxing"
Beachside,Jaffna,April,Sunny,"Delft island exploration, Nainativu island exploration, Beach relaxing, Cycling tours, Visit jaffna fort",Adventure Travel,Vegetarian meal options,1,"Day 1 - Delft island exploration, Nainativu island exploration, Beach relaxing"
Beachside,Jaffna,May,Rainy,"Visit jaffna fort, Museum visits, Visit Nallur kandaswamy temple, Food stops",Adventure Travel,"Private tour guide, spa booking",1,"Day 1 - Visit jaffna fort, Museum visits, Visit Nallur kandaswamy temple"
Beachside,Jaffna,June,Sunny,"Delft island exploration, Nainativu island exploration, Beach relaxing, Cycling tours, Visit jaffna fort",Adventure Travel,Eco-friendly accommodation,1,"Day 1 - Delft island exploration, Nainativu island exploration, Beach relaxing"
Beachside,Jaffna,July,Sunny,"Delft island exploration, Nainativu island exploration, Beach relaxing, Cycling tours, Visit jaffna fort",Adventure Travel,"Road map, GPS rental",1,"Day 1 - Delft island exploration, Nainativu island exploration, Beach relaxing"
Beachside,Jaffna,August,Sunny,"Delft island exploration, Nainativu island exploration, Beach relaxing, Cycling tours, Visit jaffna fort",Adventure Travel,"Budget Friendly Stay, Public Transport",1,"Day 1 - Delft island exploration, Nainativu island exploration, Beach relaxing"
Beachside,Jaffna,September,Cloudy,"Delft island exploration, Nainativu island exploration, Beach relaxing, Cycling tours, Visit jaffna fort, Food stops",Adventure Travel,"Road map, GPS rental",1,"Day 1 - Delft island exploration, Nainativu island exploration, Beach relaxing"
Beachside,Jaffna,October,Cloudy,"Delft island exploration, Nainativu island exploration, Beach relaxing, Cycling tours, Visit jaffna fort, Food stops",Adventure Travel,"Private tour guide, spa booking",1,"Day 1 - Delft island exploration, Nainativu island exploration, Beach relaxing"
Beachside,Jaffna,November,Rainy,"Visit jaffna fort, Museum visits, Visit Nallur kandaswamy temple, Food stops",Adventure Travel,Eco-friendly accommodation,1,"Day 1 - Visit jaffna fort, Museum visits, Visit Nallur kandaswamy temple"
Beachside,Jaffna,December,Rainy,"Visit jaffna fort, Museum visits, Visit Nallur kandaswamy temple, Food stops",Adventure Travel,Special meal arrangements,1,"Day 1 - Visit jaffna fort, Museum visits, Visit Nallur kandaswamy temple"
Upcountry,Ella,January,Cloudy,"Hiking Ella rock, Visit little Adam's Peak, Visiting waterfalls, Flying Ravana Mega zipline, Train journeys, Tea plantation visits, Explore Nine Arch bridge",Adventure Travel,Eco-friendly accommodation,1,"Day 1 - Hiking Ella rock, Visit little Adam's Peak, Visiting waterfalls"
Upcountry,Ella,February,Cloudy,"Hiking Ella rock, Visit little Adam's Peak, Visiting waterfalls, Flying Ravana Mega zipline, Train journeys, Tea plantation visits, Explore Nine Arch bridge",Adventure Travel,"Road map, GPS rental",1,"Day 1 - Hiking Ella rock, Visit little Adam's Peak, Visiting waterfalls"
Upcountry,Ella,March,Rainy,"Visit Ella spice garden, Explore Ravana's cave, Visiting waterfalls, Train journeys, Tea plantation visits, Explore Nine Arch bridge",Adventure Travel,"Budget Friendly Stay, Public Transport",1,"Day 1 - Visit Ella spice garden, Explore Ravana's cave, Visiting waterfalls"
Upcountry,Ella,April,Rainy,"Visit Ella spice garden, Explore Ravana's cave, Visiting waterfalls, Train journeys, Tea plantation visits, Explore Nine Arch bridge",Adventure Travel,Vegetarian meal options,1,"Day 1 - Visit Ella spice garden, Explore Ravana's cave, Visiting waterfalls"
Upcountry,Ella,May,Rainy,"Visit Ella spice garden, Explore Ravana's cave, Visiting waterfalls, Train journeys, Tea plantation visits, Explore Nine Arch bridge",Adventure Travel,"Private tour guide, spa booking",1,"Day 1 - Visit Ella spice garden, Explore Ravana's cave, Visiting waterfalls"
Upcountry,Ella,June,Cloudy,"Hiking Ella rock, Visit little Adam's Peak, Visiting waterfalls, Flying Ravana Mega zipline, Train journeys, Tea plantation visits, Explore Nine Arch bridge",Adventure Travel,Eco-friendly accommodation,1,"Day 1 - Hiking Ella rock, Visit little Adam's Peak, Visiting waterfalls"
Upcountry,Ella,July,Sunny,"Hiking Ella rock, Visit little Adam's Peak, Visiting waterfalls, Flying Ravana Mega zipline, Train journeys, Tea plantation visits, Explore Nine Arch bridge",Adventure Travel,"Road map, GPS rental",1,"Day 1 - Hiking Ella rock, Visit little Adam's Peak, Visiting waterfalls"
Upcountry,Ella,August,Rainy,"Visit Ella spice garden, Explore Ravana's cave, Visiting waterfalls, Train journeys, Tea plantation visits, Explore Nine Arch bridge",Adventure Travel,"Budget Friendly Stay, Public Transport",1,"Day 1 - Visit Ella spice garden, Explore Ravana's cave, Visiting waterfalls"
Upcountry,Ella,September,Rainy,"Visit Ella spice garden, Explore Ravana's cave, Visiting waterfalls, Train journeys, Tea plantation visits, Explore Nine Arch bridge",Adventure Travel,"Road map, GPS rental",1,"Day 1 - Visit Ella spice garden, Explore Ravana's cave, Visiting waterfalls"
Upcountry,Ella,October,Rainy,"Visit Ella spice garden, Explore Ravana's cave, Visiting waterfalls, Train journeys, Tea plantation visits, Explore Nine Arch bridge",Adventure Travel,"Private tour guide, spa booking",1,"Day 1 - Visit Ella spice garden, Explore Ravana's cave, Visiting waterfalls"
Upcountry,Ella,November,Rainy,"Visit Ella spice garden, Explore Ravana's cave, Visiting waterfalls, Train journeys, Tea plantation visits, Explore Nine Arch bridge",Adventure Travel,Eco-friendly accommodation,1,"Day 1 - Visit Ella spice garden, Explore Ravana's cave, Visiting waterfalls"
Upcountry,Ella,December,Rainy,"Visit Ella spice garden, Explore Ravana's cave, Visiting waterfalls, Train journeys, Tea plantation visits, Explore Nine Arch bridge",Adventure Travel,Special meal arrangements,1,"Day 1 - Visit Ella spice garden, Explore Ravana's cave, Visiting waterfalls"
Historical,Sigiriya,January,Sunny,"Climbing Sigiriya Rock Fortress, Hiking Pidurangala Rock, Wildlife safari, Village tours, Explore Dambulla cave temple",Adventure Travel,Eco-friendly accommodation,1,"Day 1 - Climbing Sigiriya Rock Fortress, Hiking Pidurangala Rock, Wildlife safari"
Historical,Sigiriya,February,Sunny,"Climbing Sigiriya Rock Fortress, Hiking Pidurangala Rock, Wildlife safari, Village tours, Explore Dambulla cave temple",Adventure Travel,"Road map, GPS rental",1,"Day 1 - Climbing Sigiriya Rock Fortress, Hiking Pidurangala Rock, Wildlife safari"
Historical,Sigiriya,March,Sunny,"Climbing Sigiriya Rock Fortress, Hiking Pidurangala Rock, Wildlife safari, Village tours, Explore Dambulla cave temple",Adventure Travel,"Budget Friendly Stay, Public Transport",1,"Day 1 - Climbing Sigiriya Rock Fortress, Hiking Pidurangala Rock, Wildlife safari"
Historical,Sigiriya,April,Sunny,"Climbing Sigiriya Rock Fortress, Hiking Pidurangala Rock, Wildlife safari, Village tours, Explore Dambulla cave temple",Adventure Travel,Vegetarian meal options,1,"Day 1 - Climbing Sigiriya Rock Fortress, Hiking Pidurangala Rock, Wildlife safari"
Historical,Sigiriya,May,Sunny,"Climbing Sigiriya Rock Fortress, Hiking Pidurangala Rock, Wildlife safari, Village tours, Explore Dambulla cave temple",Adventure Travel,"Private tour guide, spa booking",1,"Day 1 - Climbing Sigiriya Rock Fortress, Hiking Pidurangala Rock, Wildlife safari"
Historical,Sigiriya,June,Cloudy,"Climbing Sigiriya Rock Fortress, Hiking Pidurangala Rock, Wildlife safari, Village tours, Explore Dambulla cave temple",Adventure Travel,Eco-friendly accommodation,1,"Day 1 - Climbing Sigiriya Rock Fortress, Hiking Pidurangala Rock, Wildlife safari"
Historical,Sigiriya,July,Cloudy,"Climbing Sigiriya Rock Fortress, Hiking Pidurangala Rock, Wildlife safari, Village tours, Explore Dambulla cave temple",Adventure Travel,"Road map, GPS rental",1,"Day 1 - Climbing Sigiriya Rock Fortress, Hiking Pidurangala Rock, Wildlife safari"
Historical,Sigiriya,August,Cloudy,"Climbing Sigiriya Rock Fortress, Hiking Pidurangala Rock, Wildlife safari, Village tours, Explore Dambulla cave temple",Adventure Travel,"Budget Friendly Stay, Public Transport",1,"Day 1 - Climbing Sigiriya Rock Fortress, Hiking Pidurangala Rock, Wildlife safari"
Historical,Sigiriya,September,Cloudy,"Climbing Sigiriya Rock Fortress, Hiking Pidurangala Rock, Wildlife safari, Village tours, Explore Dambulla cave temple",Adventure Travel,"Road map, GPS rental",1,"Day 1 - Climbing Sigiriya Rock Fortress, Hiking Pidurangala Rock, Wildlife safari"
Historical,Sigiriya,October,Rainy,"Climbing Sigiriya Rock Fortress, Wildlife safari, Village tours, Explore Dambulla cave temple, Cultural tours.",Adventure Travel,"Private tour guide, spa booking",1,"Day 1 - Climbing Sigiriya Rock Fortress, Wildlife safari, Village tours"
Historical,Sigiriya,November,Rainy,"Climbing Sigiriya Rock Fortress, Wildlife safari, Village tours, Explore Dambulla cave temple, Cultural tours.",Adventure Travel,Eco-friendly accommodation,1,"Day 1 - Climbing Sigiriya Rock Fortress, Wildlife safari, Village tours"
Historical,Sigiriya,December,Rainy,"Climbing Sigiriya Rock Fortress, Wildlife safari, Village tours, Explore Dambulla cave temple, Cultural tours.",Adventure Travel,Special meal arrangements,1,"Day 1 - Climbing Sigiriya Rock Fortress, Wildlife safari, Village tours"
Beachside,Galle,January,Sunny,"Surfing, Snorkeling, Diving, Beach Hopping, Whale watching, Cycling Tours, Kayaking, Explore Galle fort",Adventure Travel,Private beachfront dining,1,"Day 1 - Surfing, Snorkeling, Diving"
Beachside,Galle,February,Sunny,"Surfing, Snorkeling, Diving, Beach Hopping, Whale watching, Cycling Tours, Kayaking, Explore Galle fort",Adventure Travel,"Private villa, surfing lessons, ",1,"Day 1 - Surfing, Snorkeling, Diving"
Beachside,Galle,March,Sunny,"Surfing, Snorkeling, Diving, Beach Hopping, Whale watching, Cycling Tours, Kayaking, Explore Galle fort",Adventure Travel,"Private tour guide, spa booking",1,"Day 1 - Surfing, Snorkeling, Diving"
Beachside,Galle,April,Sunny,"Surfing, Snorkeling, Diving, Beach Hopping, Whale watching, Cycling Tours, Kayaking, Explore Galle fort",Adventure Travel,Eco-friendly accommodation,1,"Day 1 - Surfing, Snorkeling, Diving"
Beachside,Galle,May,Cloudy,"Surfing, Snorkeling, Diving, Beach Hopping, Cycling Tours, Kayaking, Explore Galle fort",Adventure Travel,"Budget Friendly Stay, Public Transport",1,"Day 1 - Surfing, Snorkeling, Diving"
Beachside,Galle,June,Rainy,"Explore Galle fort, Tea plantation visits, Diving",Adventure Travel,Private beachfront dining,1,"Day 1 - Explore Galle fort, Tea plantation visits, Diving"
Beachside,Galle,July,Rainy,"Explore Galle fort, Tea plantation visits, Diving",Adventure Travel,"Private villa, surfing lessons, ",1,"Day 1 - Explore Galle fort, Tea plantation visits, Diving"
Beachside,Galle,August,Rainy,"Explore Galle fort, Tea plantation visits, Diving",Adventure Travel,"Private tour guide, spa booking",1,"Day 1 - Explore Galle fort, Tea plantation visits, Diving"
Beachside,Galle,September,Cloudy,"Surfing, Snorkeling, Diving, Beach Hopping, Cycling Tours, Kayaking, Explore Galle fort",Adventure Travel,"Private villa, surfing lessons, ",1,"Day 1 - Surfing, Snorkeling, Diving"
Beachside,Galle,October,Rainy,"Explore Galle fort, Tea plantation visits, Diving",Adventure Travel,Special meal arrangements,1,"Day 1 - Explore Galle fort, Tea plantation visits, Diving"
Beachside,Galle,November,Cloudy,"Surfing, Snorkeling, Diving, Beach Hopping, Whale watching, Cycling Tours, Kayaking, Explore Galle fort",Adventure Travel,Vegetarian meal options,1,"Day 1 - Surfing, Snorkeling, Diving"
Beachside,Galle,December,Cloudy,"Surfing, Snorkeling, Diving, Beach Hopping, Whale watching, Cycling Tours, Kayaking, Explore Galle fort",Adventure Travel,"Budget Friendly Stay, Public Transport",1,"Day 1 - Surfing, Snorkeling, Diving"
Beachside,Trincomalee,January,Rainy,"Mangrove Tours, Lagoon Kayaking, Visit Kanniya Hot Springs, Jungle Safari, Koneswaram Temple, Fort Fredrick, Wreck Diving, Birdwatching",Adventure Travel,"Budget Friendly Stay, Public Transport",2,"Day 1 - Mangrove Tours, Lagoon Kayaking, Visit Kanniya Hot Springs | Day 2 - Jungle Safari, Koneswaram Temple, Fort Fredrick"
Beachside,Trincomalee,February,Cloudy,"Snorkeling, Diving, Surfing, Paddleboarding, Kayaking, Sailing and Fishing, Hiking, Camping, Jeep Rides, Birdwatching, Jungle Safari",Adventure Travel,Private beachfront dining,2,"Day 1 - Snorkeling, Diving, Surfing | Day 2 - Paddleboarding, Kayaking, Sailing and Fishing"
Beachside,Trincomalee,March,Sunny,"Snorkeling, Diving, Surfing, Paddleboarding, Kayaking, Sailing and Fishing, Hiking, Camping, Jeep Rides, Birdwatching, Jungle Safari",Adventure Travel,"Private villa, surfing lessons",2,"Day 1 - Snorkeling, Diving, Surfing | Day 2 - Paddleboarding, Kayaking, Sailing and Fishing"
Beachside,Trincomalee,April,Sunny,"Snorkeling, Diving, Surfing, Paddleboarding, Kayaking, Sailing and Fishing, Hiking, Camping, Jeep Rides, Jungle Safari",Adventure Travel,"Budget Friendly Stay, Public Transport",2,"Day 1 - Snorkeling, Diving, Surfing | Day 2 - Paddleboarding, Kayaking, Sailing and Fishing"
Beachside,Trincomalee,May,Sunny,"Snorkeling, Diving, Whale watching, Surfing, Paddleboarding, Kayaking, Sailing and Fishing, Hiking, Camping, Jeep Rides, Jungle Safari",Adventure Travel,Private beachfront dining,2,"Day 1 - Snorkeling, Diving, Whale watching | Day 2 - Surfing, Paddleboarding, Kayaking"
Beachside,Trincomalee,June,Sunny,"Snorkeling, Diving, Whale watching, Surfing, Paddleboarding, Kayaking, Sailing and Fishing, Hiking, Camping, Jeep Rides, Jungle Safari",Adventure Travel,"Private villa, surfing lessons",2,"Day 1 - Snorkeling, Diving, Whale watching | Day 2 - Surfing, Paddleboarding, Kayaking"
Beachside,Trincomalee,July,Sunny,"Snorkeling, Diving, Whale watching, Surfing, Paddleboarding, Kayaking, Sailing and Fishing, Hiking, Camping, Jeep Rides, Jungle Safari",Adventure Travel,"Private villa, surfing lessons",2,"Day 1 - Snorkeling, Diving, Whale watching | Day 2 - Surfing, Paddleboarding, Kayaking"
Beachside,Trincomalee,August,Sunny,"Snorkeling, Diving, Whale watching, Surfing, Paddleboarding, Kayaking, Sailing and Fishing, Hiking, Camping, Jeep Rides, Jungle Safari",Adventure Travel,"Budget Friendly Stay, Public Transport",2,"Day 1 - Snorkeling, Diving, Whale watching | Day 2 - Surfing, Paddleboarding, Kayaking"
Beachside,Trincomalee,September,Cloudy,"Snorkeling, Diving, Whale watching, Surfing, Paddleboarding, Kayaking, Sailing and Fishing, Hiking, Camping, Jeep Rides, Jungle Safari",Adventure Travel,Eco-friendly accommodation,2,"Day 1 - Snorkeling, Diving, Whale watching | Day 2 - Surfing, Paddleboarding, Kayaking"
Beachside,Trincomalee,October,Rainy,"Mangrove Tours, Lagoon Kayaking, Visit Kanniya Hot Springs, Jungle Safari, Koneswaram Temple, Fort Fredrick, Wreck Diving",Adventure Travel,Special meal arrangements,2,"Day 1 - Mangrove Tours, Lagoon Kayaking, Visit Kanniya Hot Springs | Day 2 - Jungle Safari, Koneswaram Temple, Fort Fredrick"
Beachside,Trincomalee,November,Rainy,"Mangrove Tours, Lagoon Kayaking, Visit Kanniya Hot Springs, Jungle Safari, Koneswaram Temple, Fort Fredrick, Wreck Diving, Birdwatching",Adventure Travel,Vegetarian meal options,2,"Day 1 - Mangrove Tours, Lagoon Kayaking, Visit Kanniya Hot Springs | Day 2 - Jungle Safari, Koneswaram Temple, Fort Fredrick"
Beachside,Trincomalee,December,Rainy,"Mangrove Tours, Lagoon Kayaking, Visit Kanniya Hot Springs, Jungle Safari, Koneswaram Temple, Fort Fredrick, Wreck Diving, Birdwatching",Adventure Travel,"Private tour guide, spa booking",2,"Day 1 - Mangrove Tours, Lagoon Kayaking, Visit Kanniya Hot Springs | Day 2 - Jungle Safari, Koneswaram Temple, Fort Fredrick"
Upcountry,Nuwara Eliya,January,Cloudy,"Hiking, Visiting waterfalls, Tea plantation visit, Boating, Golfing, Botanical Exploration, Strawberry farm visits ",Adventure Travel,Eco-friendly accommodation,2,"Day 1 - Hiking, Visiting waterfalls, Tea plantation visit | Day 2 - Boating, Golfing, Botanical Exploration"
Upcountry,Nuwara Eliya,February,Cloudy,"Hiking, Visiting waterfalls, Tea plantation visit, Boating, Golfing, Botanical Exploration, Strawberry farm visits ",Adventure Travel,"Road map, GPS rental",2,"Day 1 - Hiking, Visiting waterfalls, Tea plantation visit | Day 2 - Boating, Golfing, Botanical Exploration"
Upcountry,Nuwara Eliya,March,Sunny,"Hiking, Visiting waterfalls, Tea plantation visit, Boating, Golfing, Botanical Exploration, Strawberry farm visits ",Adventure Travel,"Budget Friendly Stay, Public Transport",2,"Day 1 - Hiking, Visiting waterfalls, Tea plantation visit | Day 2 - Boating, Golfing, Botanical Exploration"
Upcountry,Nuwara Eliya,April,Sunny,"Hiking, Visiting waterfalls, Tea plantation visit, Boating, Golfing, Botanical Exploration, Strawberry farm visits ",Adventure Travel,"Road map, GPS rental",2,"Day 1 - Hiking, Visiting waterfalls, Tea plantation visit | Day 2 - Boating, Golfing, Botanical Exploration"
Upcountry,Nuwara Eliya,May,Rainy,"Tea factory tours, Visit seetha amman temple, Bortanical Exploration, Strawberry farm visits, Visiting waterfalls ",Adventure Travel,"Private tour guide, spa booking",2,"Day 1 - Tea factory tours, Visit seetha amman temple, Bortanical Exploration | Day 2 - Strawberry farm visits, Visiting waterfalls , Tea factory tours"
